emissions,year,gdp_per_capita,emissions/gdp
9350528,1750,1898,4927.243218
9350528,1751,1846,5066.087305
9354192,1752,1923,4863.135239
9354192,1753,1925,4859.0681
9357856,1754,1857,5039.61311
9361520,1755,1899,4930.203394
10006384,1756,1851,5407.394758
10010048,1757,1947,5140.106249
10013712,1758,1968,5087.777353
10017376,1759,1991,5032.264158
10017376,1760,2035,4923.293717
10973680,1761,2099,5227.528451
10977344,1762,2031,5404.177682
10981008,1763,2028,5414.965235
10984672,1764,2016,5449.827347
10988336,1765,1982,5543.980666
12259744,1766,1998,6137.205961
12263408,1767,2005,6115.711415
12267072,1768,2017,6081.629595
12270736,1769,2116,5798.558991
12274400,1770,2043,6009.056862
13611760,1771,2067,6586.420789
13615424,1772,1998,6814.049066
13619088,1773,2017,6751.079985
13622752,1774,1958,6958.47823
13626416,1775,1999,6818.08327
15037056,1776,2043,7359.237308
15040720,1777,2082,7223.510209
15044384,1778,2046,7352.13707
15048048,1779,2021,7444.479734
15055376,1780,2102,7162.950217
16843408,1781,2146,7849.403592
16847072,1782,2117,7959.083672
16854400,1783,2090,8064.421977
16858064,1784,2093,8054.574817
16865392,1785,2059,8190.940394
19148064,1786,2076,9223.759724
19155392,1787,2021,9479.910721
19159056,1788,1993,9610.955826
19166384,1789,2018,9498.2774
19173712,1790,2144,8944.54759
21416080,1791,2129,10057.37841
21423408,1792,2189,9787.427769
21430736,1793,2130,10061.00005
21434400,1794,2041,10503.50668
21441728,1795,2243,9559.482474
22412688,1796,2259,9923.221365
23541200,1797,2221,10599.89511
24515824,1798,2215,11069.09157
25798224,1799,2248,11474.39337
26633616,1800,2332,11422.25558
26710560,1801,2338,11424.1424
26849792,1802,2348,11435.07807
30191360,1803,2272,13291.25872
30330592,1804,2240,13541.34904
31462768,1805,2337,13463.2913
33250802,1806,2292,14508.46949
33258130,1807,2406,13824.08778
33269120,1808,2261,14713.75245
33280114,1809,2301,14462.50992
33291104,1810,2420,13756.0287
35562784,1811,2364,15046.2787
36936784,1812,2237,16510.34809
37376464,1813,2323,16091.26306
38087280,1814,2241,16994.29841
38922670,1815,2437,15972.86195
41436176,1816,2271,18243.37428
41923490,1817,2272,18453.62028
42022416,1818,2237,18787.51744
42337520,1819,2167,19539.7325
42528050,1820,2312,18394.16706
42872464,1821,2312,18540.48537
44521264,1822,2317,19212.72526
46873550,1823,2348,19965.64738
49082944,1824,2440,20118.43423
49592240,1825,2455,20198.36596
50145504,1826,2292,21877.91847
52230320,1827,2438,21422.90094
52589390,1828,2407,21852.06071
53336850,1829,2394,22284.04011
67864610,1830,2468,27501.15897
65765136,1831,2510,26205.52894
65589264,1832,2495,26292.07686
65494004,1833,2491,26289.50973
65537972,1834,2542,25778.80417
65263170,1835,2665,24490.83233
76445700,1836,2700,28313.95734
73770980,1837,2647,27874.18327
75811820,1838,2746,27608.19231
77779390,1839,2774,28039.11736
80959740,1840,2750,29441.08417
81839100,1841,2643,30959.43645
85371200,1842,2598,32866.29991
89093820,1843,2647,33652.31088
93472300,1844,2818,33165.60991
99986900,1845,2913,34328.96837
95692690,1846,3043,31442.07251
103548300,1847,2973,34830.03471
109286130,1848,3003,36396.4397
116005900,1849,2991,38791.473
122604770,1850,2914,42079.58918
116654430,1851,3004,38827.993
116240400,1852,3059,37994.75835
115599200,1853,3136,36863.75187
139301620,1854,3233,43093.01415
130442060,1855,3160,41284.48814
140375170,1856,3265,42994.8496
137861660,1857,3261,42270.57139
135113660,1858,3214,42039.6209
150011490,1859,3300,45462.02242
167950430,1860,3347,50176.5466
175047600,1861,3372,51917.02807
169470990,1862,3303,51311.77466
180224830,1863,3440,52394.74671
193909870,1864,3446,56273.93897
205488110,1865,3564,57650.93334
211731570,1866,3569,59323.02156
217374130,1867,3543,61347.75785
213219150,1868,3639,58591.49679
223705520,1869,3684,60727.66067
228494370,1870,3927,58182.81205
242036510,1871,4104,58973.89115
254988750,1872,4065,62721.38088
264658050,1873,4039,65532.9388
257187170,1874,4153,61928.19092
271487740,1875,4131,65719.29935
271018750,1876,4089,66272.17886
275899200,1877,4068,67829.49891
270974800,1878,4011,67563.9815
272645570,1879,3880,70268.93349
297124770,1880,4116,72187.91969
312312030,1881,4169,74913.65472
314964770,1882,4183,75294.76656
327730140,1883,4273,76697.90311
319097760,1884,4179,76360.3716
315290850,1885,4089,77105.38097
312429280,1886,4058,76994.55428
320442430,1887,4188,76506.93573
333167520,1888,4283,77788.35396
345024220,1889,4376,78853.12997
353022720,1890,4376,80674.86281
360471650,1891,4461,80811.46427
353008100,1892,4299,82110.37619
316210530,1893,4212,75072.29741
362102140,1894,4373,82797.623
365549950,1895,4466,81853.2258
375981340,1896,4602,81694.23035
385969400,1897,4601,83883.41819
386878080,1898,4791,80747.13174
414552300,1899,4922,84231.03586
419740500,1900,4871,86175.74296
410701400,1901,4930,83301.67191
426639840,1902,4958,86049.40449
429985060,1903,4859,88488.12619
431992930,1904,4876,88586.85495
437672130,1905,4991,87695.08691
453350370,1906,5065,89507.1965
473568320,1907,5116,92569.39034
461964450,1908,4888,94509.33585
466086460,1909,4955,94057.2211
469732130,1910,5067,92702.91284
481350700,1911,5180,92925.56313
455885860,1912,5245,86915.3657
498322340,1913,5442,91575.59732
483182700,1914,5486,88082.65541
489481100,1915,5722,85540.41664
507071970,1916,5782,87692.91064
501169250,1917,5747,87206.42718
466848580,1918,5859,79686.98563
456131360,1919,5423,84111.60446
470750720,1920,5059,93060.22083
319804900,1921,4529,70616.59398
428222700,1922,4737,90391.16253
454892930,1923,4848,93830.08607
475982900,1924,5033,94572.218
449657100,1925,5192,86604.08916
246371020,1926,5006,49217.8004
466734980,1927,5365,86989.29305
437639700,1928,5380,81342.19169
460673800,1929,5516,83516.97416
441073630,1930,5437,81130.71488
412212450,1931,5155,79968.73864
395899700,1932,5131,77162.75135
392154500,1933,5274,74349.8346
423203650,1934,5573,75931.94353
429106900,1935,5754,74578.77573
453795970,1936,5998,75655.73793
468130750,1937,6175,75810.40223
448940000,1938,6195,72465.30974
452456350,1939,6435,70313.64356
475143870,1940,7012,67761.43838
469651500,1941,7665,61270.13464
468899900,1942,7763,60403.5276
454820350,1943,7816,58194.50913
442024580,1944,7440,59414.45978
417624400,1945,7066,59102.1964
436128220,1946,6895,63256.30907
461269020,1947,6757,68267.178
475563200,1948,6906,68861.02736
485108700,1949,7098,68340.57067
500792130,1950,7301,68588.22399
545252800,1951,7615,71599.7421
528706100,1952,7715,68528.20762
540210750,1953,8117,66550.79232
553009700,1954,8439,65530.55116
576951700,1955,8732,66071.81859
574323500,1956,8832,65026.68595
570714200,1957,8956,63724.01398
556315840,1958,9033,61590.2545
546606140,1959,9350,58460.98928
584020030,1960,9855,59263.51734
588614800,1961,10027,58705.08964
592931500,1962,10040,59054.15782
603385660,1963,10463,57665.97856
607866000,1964,10965,55434.50902
622111600,1965,11123,55932.21009
618074600,1966,11231,55031.83091
592057000,1967,11475,51596.99999
606488260,1968,12046,50347.85604
628382600,1969,12225,51403.20567
652577400,1970,12522,52116.13532
660388200,1971,12896,51208.96095
648026300,1972,13384,48417.6224
659577100,1973,14215,46399.75097
617183600,1974,13859,44534.40396
603247040,1975,13649,44197.90501
598526000,1976,14046,42612.54456
604361700,1977,14392,41993.91314
604713500,1978,14989,40342.82295
644512800,1979,15523,41521.03777
579035400,1980,15170,38169.46735
560554500,1981,15035,37284.39675
548240400,1982,15360,35693.01323
545485100,1983,16004,34084.1273
529108160,1984,16342,32376.8606
559627300,1985,16983,32952.39918
568554000,1986,17479,32527.51704
571667600,1987,18382,31099.9067
570293760,1988,19410,29381.89613
581576100,1989,19863,29279.88461
601945100,1990,19954,30166.59443
609412700,1991,19669,30984.16658
593845950,1992,19672,30186.86399
579612540,1993,20105,28829.3149
574016900,1994,20814,27578.57753
566158900,1995,21250,26643.38613
586760700,1996,21712,27024.80618
562708160,1997,22305,25227.7587
568543700,1998,23031,24685.80555
561649600,1999,23754,23644.67084
569033660,2000,24402,23319.00549
577970560,2001,25021,23099.25271
560273200,2002,25550,21928.93012
571618750,2003,26342,21700.21326
573429760,2004,26778,21414.45238
570338370,2005,27284,20903.43034
567845600,2006,27669,20522.72807
559566460,2007,28237,19816.81732
544932400,2008,27766,19625.76762
494107700,2009,26453,18678.55286
511904580,2010,26775,19119.08815
469713300,2011,26915,17451.8981
487476770,2012,27206,17917.67738
477611260,2013,27544,17339.73683
438807070,2014,28257,15529.25506
422460800,2015,28693,14723.49448
399430140,2016,28982,13781.87906
